order_number,ship_date
R486687763,2017-01-03
R867545758,2017-01-03
R341285288,2017-01-10
R528208088,2017-01-03
R188773775,2017-01-09
R370750514,2017-01-10
R127041057,2017-01-05
R451456625,2017-01-05
R817416860,2017-01-05
R035437303,2017-01-06
R563016851,2017-01-10
R765431065,2017-01-09
R036486820,2017-01-10
R228617173,2017-01-09
R857466126,2017-01-09
R148032443,2017-01-10
R003448362,2017-01-09
R353118703,2017-01-10
R847420185,2017-01-13
R105543217,2017-01-11
R018811482,2017-01-12
R186010686,2017-01-13
R811285246,2017-01-13
R801626762,2017-01-13
R457566741,2017-01-16
R583626246,2017-01-17
R005740866,2017-01-16
R476427707,2017-01-16
R563721747,2017-01-17
R338266226,2017-01-16
R056087051,2017-01-16
R706831643,2017-01-17
R167140501,2017-01-16
R401830624,2017-01-17
R225261713,2017-01-17
R268075415,2017-01-18
R547057006,2017-01-18
R112764662,2017-01-19
R880023510,2017-02-02
R226350006,2017-01-20
R584731218,2017-02-06
R867643211,2017-02-07
R224522037,2017-02-06
R773805680,2017-02-07
R684856006,2017-02-06
R181764100,2017-02-07
R132351275,2017-02-06
R512660324,2017-02-06
R215043286,2017-02-07
R305375558,2017-02-06
R128548034,2017-02-06
R347100425,2017-02-07
R487065304,2017-02-06
R286017210,2017-02-06
R512687234,2017-02-07
R366158317,2017-02-06
R313501161,2017-05-09
R066840837,2017-02-06
R223156746,2017-02-06
R515360228,2017-02-06
R061761566,2017-02-06
R225045578,2017-02-06
R204445317,2017-02-06
R180074743,2017-02-06
R684760517,2017-02-06
R062558546,2017-02-07
R322687010,2017-02-06
R338037861,2017-02-06
R338037861,2017-02-06
R500433014,2017-02-06
R500433014,2017-02-06
R861657214,2017-02-06
R861657214,2017-02-06
R866887322,2017-02-06
R160201366,2017-02-07
R707388522,2017-02-07
R085103688,2017-02-07
R646682710,2017-02-07
R383253675,2017-02-07
R082428858,2017-02-07
R211770713,2017-02-09
R582056140,2017-02-07
R636287845,2017-02-07
R124141038,2017-02-07
R521067577,2017-02-07
R681330036,2017-02-07
R866276388,2017-02-07
R880023510,2017-02-07
R864456082,2017-02-08
R268421118,2017-02-08
R445304642,2017-02-09
R265328836,2017-02-08
R448400158,2017-02-08
R448400158,2017-02-08
R448400158,2017-02-08
R480122222,2017-02-08
R323764401,2017-02-10
R447742756,2017-02-09
R150762501,2017-02-09
R354780115,2017-02-09
R854887042,2017-02-09
R531643706,2017-02-09
R148750551,2017-02-09
R354780115,2017-02-09
R655405604,2017-02-10
R351286740,2017-02-10
R112154722,2017-02-10
R606670543,2017-02-10
R212661375,2017-02-10
R417638078,2017-02-13
R715868531,2017-02-14
R513385283,2017-02-13
R751715482,2017-02-13
R226050670,2017-02-14
R805588677,2017-02-13
R176415482,2017-02-13
R288601207,2017-02-13
R241370271,2017-02-14
R236074752,2017-02-13
R205413053,2017-02-13
R124564455,2017-02-13
R763413806,2017-02-13
R124564455,2017-02-13
R785483754,2017-02-13
R702844010,2017-02-13
R503208126,2017-02-14
R288317423,2017-02-13
R072223710,2017-02-13
R236074752,2017-02-13
R717716362,2017-02-14
R810818775,2017-02-14
R773257141,2017-02-15
R233245116,2017-02-14
R310758367,2017-02-14
R854264850,2017-02-14
R305662021,2017-02-14
R672733175,2017-02-14
R240782871,2017-02-14
R607785734,2017-02-14
R211580205,2017-02-14
R432385306,2017-02-14
R827316438,2017-02-14
R527520127,2017-02-15
R777722332,2017-02-14
R642876135,2017-02-14
R642876135,2017-02-14
R265174738,2017-02-14
R602272743,2017-02-15
R052056701,2017-02-15
R758338713,2017-02-15
R534305460,2017-02-16
R072408101,2017-02-16
R410070374,2017-02-16
R567221360,2017-02-20
R345530408,2017-02-16
R458176577,2017-02-17
R264674348,2017-02-16
R468073163,2017-02-16
R733676661,2017-02-16
R784605058,2017-02-16
R233684608,2017-02-16
R774728855,2017-02-20
R208824346,2017-02-20
R208824346,2017-02-20
R245345222,2017-02-20
R188438253,2017-02-20
R432718581,2017-02-20
R828231475,2017-02-20
R253646121,2017-02-20
R118055801,2017-02-20
R036642121,2017-02-20
R331566272,2017-02-20
R676874241,2017-02-20
R238367227,2017-02-20
R157627487,2017-02-20
R687845551,2017-02-20
R451872062,2017-02-21
R084464247,2017-02-21
R084464247,2017-02-21
R850457510,2017-02-21
R726513208,2017-02-21
R558554561,2017-02-21
R148110820,2017-02-21
R362674007,2017-02-21
R364236487,2017-02-21
R886806862,2017-02-21
R115677253,2017-02-21
R858334820,2017-02-22
R423887571,2017-02-22
R828722078,2017-02-22
R673452081,2017-02-22
R260382643,2017-02-22
R111104165,2017-02-22
R726520634,2017-02-22
R201676466,2017-02-22
R613376722,2017-02-22
R172753532,2017-02-22
R715556247,2017-02-28
R722124836,2017-02-23
R836507045,2017-02-23
R836507045,2017-02-23
R826343446,2017-02-23
R573522500,2017-02-23
R111588483,2017-02-23
R144106185,2017-02-23
R023652613,2017-02-24
R348340061,2017-02-24
R402387586,2017-02-24
R715556247,2017-02-28
R258756846,2017-02-27
R352058337,2017-02-27
R265340612,2017-02-27
R157454540,2017-02-27
R157454540,2017-02-27
R465070543,2017-02-27
R444457686,2017-02-27
R277342240,2017-02-27
R787505787,2017-02-27
R277342240,2017-02-27
R344444544,2017-02-27
R284247637,2017-02-27
R066574418,2017-02-27
R773525311,2017-02-27
R464451260,2017-02-27
R853022243,2017-02-27
R842482263,2017-02-27
R827524664,2017-02-27
R726511547,2017-02-27
R521270110,2017-03-01
R527673348,2017-03-01
R536228110,2017-03-01
R605715537,2017-03-01
R623375454,2017-03-01
R623375454,2017-03-01
R651808758,2017-03-01
R813213087,2017-03-01
R831646317,2017-03-01
R867668571,2017-03-01
R434018673,2017-03-01
R022314310,2017-03-03
R085011186,2017-03-07
R114814521,2017-03-03
R202278857,2017-03-03
R206086653,2017-03-03
R436066012,2017-03-03
R522225465,2017-03-07
R654702164,2017-03-07
R676788576,2017-03-03
R737631215,2017-03-03
R776027212,2017-03-03
R776665338,2017-03-03
R822777882,2017-03-03
R635407068,2017-03-06
R642013662,2017-03-06
R841585814,2017-03-06
R232504364,2017-03-06
R308307751,2017-03-06
R266605037,2017-03-06
R600780666,2017-03-06
R547165601,2017-03-06
R435486335,2017-03-06
R558678278,2017-03-06
R734866738,2017-03-06
R333130615,2017-03-06
R256285026,2017-03-06
R711321446,2017-03-06
R854640400,2017-03-07
R061318672,2017-03-10
R426144747,2017-03-06
R722855301,2017-03-06
R866066506,2017-03-06
R362033886,2017-03-06
R023132247,2017-03-06
R775611367,2017-03-06
R344371015,2017-03-06
R604568563,2017-03-06
R312812865,2017-03-07
R276604680,2017-03-07
R232723233,2017-03-07
R814550756,2017-03-07
R318356507,2017-03-07
R386603837,2017-03-07
R358824084,2017-03-07
R455234308,2017-03-07
R020164471,2017-03-07
R281526210,2017-03-07
R583267346,2017-03-07
R475654301,2017-03-07
R417072105,2017-03-07
R765225521,2017-03-07
R401838440,2017-03-07
R200354374,2017-03-07
R710574760,2017-03-07
R875176283,2017-03-08
R014762831,2017-03-08
R742832324,2017-03-08
R742783163,2017-03-08
R718005601,2017-03-08
R552484035,2017-03-08
R653588810,2017-03-08
R575750756,2017-03-08
R583301416,2017-03-08
R365468287,2017-03-08
R081414716,2017-03-08
R465637352,2017-03-08
R323250085,2017-03-08
R524423063,2017-03-08
R524423063,2017-03-08
R338577781,2017-03-08
R608817668,2017-03-08
R167303570,2017-03-08
