LINE,SENT DATE
229066,2017-01-04
229261,2017-01-04
229338,2017-01-04
229344,2017-01-04
229260,2017-01-04
229382,2017-01-05
229385,2017-01-05
229231,2017-01-05
229302,2017-01-05
229350,2017-01-05
229356,2017-01-05
229469,2017-01-05
229020,2017-01-06
229126,2017-01-06
229151,2017-01-06
229154,2017-01-06
229257,2017-01-06
229290,2017-01-06
229387,2017-01-06
229429,2017-01-06
229470,2017-01-06
229556,2017-01-06
229557,2017-01-06
229575,2017-01-06
229769,2017-01-06
229021,2017-01-07
229152,2017-01-07
229299,2017-01-07
229367,2017-01-07
229396,2017-01-07
229417,2017-01-07
229426,2017-01-07
229447,2017-01-07
229463,2017-01-07
229466,2017-01-07
229489,2017-01-07
229561,2017-01-07
229580,2017-01-07
229652,2017-01-07
229349,2017-01-09
229627,2017-01-09
229670,2017-01-09
229864,2017-01-09
229992,2017-01-09
230267,2017-01-09
230325,2017-01-09
230415,2017-01-09
229146,2017-01-09
229333,2017-01-09
230006,2017-01-09
229347,2017-01-09
229503,2017-01-09
229611,2017-01-09
229223,2017-01-10
229225,2017-01-10
229368,2017-01-10
229443,2017-01-10
229455,2017-01-10
229459,2017-01-10
229520,2017-01-10
229602,2017-01-10
229668,2017-01-10
229693,2017-01-10
229716,2017-01-10
229723,2017-01-10
229725,2017-01-10
229760,2017-01-10
229830,2017-01-10
229906,2017-01-10
229915,2017-01-10
229962,2017-01-10
229972,2017-01-10
229973,2017-01-10
230020,2017-01-10
230149,2017-01-10
230223,2017-01-10
229569,2017-01-10
229998,2017-01-10
230005,2017-01-10
229719,2017-01-10
229750,2017-01-10
229900,2017-01-10
230138,2017-01-10
230392,2017-01-10
230557,2017-01-10
230586,2017-01-10
227341,2017-01-11
230631,2017-01-11
230987,2017-01-11
230989,2017-01-11
229138,2017-01-11
229515,2017-01-11
229593,2017-01-11
229680,2017-01-11
229714,2017-01-11
229811,2017-01-11
229890,2017-01-11
229940,2017-01-11
229943,2017-01-11
230232,2017-01-11
229129,2017-01-11
229345,2017-01-11
229560,2017-01-11
229721,2017-01-11
229746,2017-01-11
229780,2017-01-11
229799,2017-01-11
229860,2017-01-11
229862,2017-01-11
229880,2017-01-11
229896,2017-01-11
229897,2017-01-11
229945,2017-01-11
230062,2017-01-11
230067,2017-01-11
230131,2017-01-11
230027,2017-01-11
230878,2017-01-11
229025,2017-01-11
229212,2017-01-11
229401,2017-01-11
229413,2017-01-11
230313,2017-01-11
230430,2017-01-11
230487,2017-01-11
230751,2017-01-11
229326,2017-01-12
230766,2017-01-12
229488,2017-01-12
230814,2017-01-12
226066,2017-01-12
229135,2017-01-12
229386,2017-01-12
229431,2017-01-12
229636,2017-01-12
229638,2017-01-12
229681,2017-01-12
229712,2017-01-12
229729,2017-01-12
229765,2017-01-12
229814,2017-01-12
229840,2017-01-12
229854,2017-01-12
229855,2017-01-12
229892,2017-01-12
229893,2017-01-12
229958,2017-01-12
229964,2017-01-12
230014,2017-01-12
230137,2017-01-12
230140,2017-01-12
230150,2017-01-12
230201,2017-01-12
230296,2017-01-12
230310,2017-01-12
230527,2017-01-12
230638,2017-01-12
230639,2017-01-12
230685,2017-01-12
230707,2017-01-12
230728,2017-01-12
230855,2017-01-12
229806,2017-01-12
S01615,2017-01-12
S01616,2017-01-12
S01617,2017-01-12
S01619,2017-01-12
S01622,2017-01-12
S01623,2017-01-12
S01629,2017-01-12
S01630,2017-01-12
229927,2017-01-13
