Product ID,Product Name,Last Sales Date,Available On,Created in Spree,Collection
1314,The Annie,2/6/17,1/17/17,1/18/17,2017 - Bridal 4.2
1299,The Nicks,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1295,The Zelda,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1304,The Jagger,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1308,The Deneuve,2/7/17,1/17/17,1/18/17,2017 - Bridal 4.2
1298,The Fitzgerald,2/4/17,1/17/17,1/18/17,2017 - Bridal 4.2
1306,The Fleur,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1296,The Josephine,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1302,The Alexandrina,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1301,The Kensie,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1312,The Bessette,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1303,The Charlotte,2/3/17,1/17/17,1/18/17,2017 - Bridal 4.2
1310,The Coralie,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1313,The Katharine,2/7/17,1/17/17,1/18/17,2017 - Bridal 4.2
1309,The Esme,2/3/17,1/17/17,1/18/17,2017 - Bridal 4.2
1311,The Sylvie,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1297,The Clara,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1307,The Aurore,2/3/17,1/17/17,1/18/17,2017 - Bridal 4.2
1305,The Sirene,2/6/17,1/17/17,1/18/17,2017 - Bridal 4.2
1300,The Joni,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1315,The Victoria,2/2/17,1/17/17,1/18/17,2017 - Bridal 4.2
1288,Alija Dress,2/5/17,1/9/17,1/10/17,2017 - 1.0
1283,Malika Dress,1/16/17,1/9/17,1/10/17,2017 - 1.0
1289,Nella Dress,2/6/17,1/9/17,1/10/17,2017 - 1.0
1293,Ekko Dress,2/6/17,1/9/17,1/10/17,2017 - 1.0
1280,Zephyra Dress,2/6/17,1/9/17,1/10/17,2017 - 1.0
1281,Elite Dress,2/7/17,1/9/17,1/10/17,2017 - 1.0
1285,Backless Starlet Dress,2/7/17,1/9/17,1/10/17,2017 - 1.0
1292,Surreal Dreamer Dress,2/7/17,1/9/17,1/10/17,2017 - 1.0
1294,Rosie Dress,2/6/17,1/9/17,1/10/17,2017 - 1.0
1282,Lalitya Dress,2/2/17,1/9/17,1/10/17,2017 - 1.0
1287,Nikita Dress,2/8/17,1/9/17,1/10/17,2017 - 1.0
1290,Maisie Dress,2/8/17,1/9/17,1/10/17,2017 - 1.0
1286,Pritisha Dress,2/2/17,1/9/17,1/10/17,2017 - 1.0
1284,Backless Haven Dress,2/7/17,1/9/17,1/10/17,2017 - 1.0
1291,Midnight Dust Dress,2/7/17,1/9/17,1/10/17,2017 - 1.0
1263,Kiki Corset,2/6/17,11/17/16,11/18/16,2016 - 4.1
1232,Sweet Thunder,11/23/16,11/17/16,11/18/16,2016 - 4.1
1242,Hillary Pant,2/8/17,11/17/16,11/18/16,2016 - 4.1
1239,Bessie Dress,2/6/17,11/17/16,11/18/16,2016 - 4.1
1235,Sinatra Dress,11/30/16,11/17/16,11/18/16,2016 - 4.1
1244,Cosmic Gate Jumpsuit,1/1/17,11/17/16,11/18/16,2016 - 4.1
1262,Kiko Kimono Coat,2/8/17,11/17/16,11/18/16,2016 - 4.1
1247,Apollo Dress,1/14/17,11/17/16,11/18/16,2016 - 4.1
1231,Viva Skirt,11/24/16,11/17/16,11/18/16,2016 - 4.1
1269,Beckett Pant,12/8/16,11/17/16,11/18/16,2016 - 4.1
1253,Pablo Pant,2/8/17,11/17/16,11/18/16,2016 - 4.1
1250,Celia Dress,1/16/17,11/17/16,11/18/16,2016 - 4.1
1243,Livinia Dress,11/30/16,11/17/16,11/18/16,2016 - 4.1
1275,Aurelia Dress,2/6/17,11/17/16,11/18/16,2016 - 4.1
1264,Luna Skirt,11/29/16,11/17/16,11/18/16,2016 - 4.1
1252,Midnight Chaos Dress,2/6/17,11/17/16,11/18/16,2016 - 4.1
1246,Latrice Dress,12/6/16,11/17/16,11/18/16,2016 - 4.1
