Date,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,Returns,Inventory Returns,Refulfilled Return Units
2016-01-01,2838.154,2772.034,15,17,1,0,1692.6377360000001,42.5,1284.64875,-211.2,322.5,0,0,15,10,0,0,0,0
2016-01-02,3242.52,3325.91,18,19,3,0,1847.70764,47.5,1346.55625,-112,399,0,0,18,13,0,0,0,0
2016-01-03,2772.714,2738.178,14,18,0,0,1642.867162,45,1247.6,-174,310.46,0,0,14,9,0,0,0,0
2016-01-04,2765.536,2833.926,13,17,1,0,1554.6876166262628,42.5,1182.2237626262627,-68.5,285.18,0,0,13,8,1,0,0,0
2016-01-05,3054.0638,3076.7018,18,18,3,0,1908.1243522,45,1394.5,-154.5,419,0,0,18,7,1,0,0,0
2016-01-06,3386.3644,3291.9444,20,21,5,0,1947.9638876,52.5,1396.9675,-298,449.23,0,0,20,12,0,0,0,0
2016-01-07,3814.3012000000003,3719.0492,20,22,6,0,2095.9311894262623,55,1501.4787626262626,-311,480,0,0,20,7,1,0,0,0
2016-01-08,2835.3786,2799.2426,16,17,3,0,1764.7042980262624,42.5,1330.4262626262625,-199,348,0,0,16,12,0,0,0,0
2016-01-09,4137.722,4238.128,21,24,2,0,2299.8920597712363,60,1699.2863477712363,-123.99999999999997,470.5,0,0,21,13,2,0,0,0
2016-01-10,4638.5766,4570.7406,25,27,6,0,2590.728392896428,67.5,1873.8969154964277,-335.99999999999994,576.18,0,0,25,13,1,0,0,0
2016-01-11,7700.3432,7705.1232,36,46,4,0,4352.182975670165,115,3274.574402870165,-386,840.36,0,0,36,24,0,0,0,0
2016-01-12,5660.7086,5617.7326,27,33,6,0,3073.043641951724,82.5,2307.389396551724,-319.33000000000004,592.84,0,0,27,22,0,0,0,0
2016-01-13,5534.9532,5668.3912,27,34,5,0,3154.4653465245624,85,2348.4720017245627,-149,631.4099999999999,0,0,27,17,1,0,0,0
2016-01-14,4782.4398,4856.5458,22,27,8,0,2589.4511034525253,67.5,1957.1512752525252,-162,483.36,0,0,22,15,2,0,0,0
