ship_month,gross_revenue,units_shipped,average_selling_price,cogs,average_unit_cogs,returns,return_rate,gross_margin,repeat_rate,returns_per_unit,production_cost,shipping,commissions_discount,total_direct_unit_costs,unit_profitability
1,259080,1016,255,116828,114.988189,90678,0.35,0.30625527,0.15,89.25,64,25,25.5,289.74,-34.74
2,197115,773,255,86958,112.4941785,68990.25,0.35,0.32130209,0.15,89.25,64,22.5,25.5,369.57,-114.57
3,1229355,4821,255,542347,112.4967849,430274.25,0.35,0.321286366,0.15,89.25,64,22.5,25.5,269.35,-14.35
4,1695240,6648,255,747878,112.4966907,593334,0.35,0.321286934,0.15,89.25,64,22.5,25.5,284.94,-29.94
5,1087575,4265,255,480080,112.5627198,380651.25,0.35,0.320888568,0.15,89.25,64,22.5,25.5,283.17,-28.17
6,330735,1297,255,139089,107.2390131,115757.25,0.35,0.353007462,0.15,89.25,58,22.5,25.5,285.04,-30.04
7,332560,1012,328.6166008,148179,146.4219368,83140,0.25,0.405905701,0.2,82.1541502,58,22.5,32.86166008,289.1958103,39.42079051
8,380245,1199,317.1351126,168676,140.6805671,95061.25,0.25,0.408535725,0.2,79.28377815,58,22.5,31.71351126,273.9972894,43.13782319
9,414415,1333,310.8889722,184119,138.1237809,103603.75,0.25,0.407617967,0.2,77.72224306,58,22.5,31.08889722,270.0211403,40.86783196
10,522790,1758,297.3777019,231232,131.5312856,130697.5,0.25,0.410261609,0.2,74.34442548,58,22.5,29.73777019,263.0621957,34.31550626
11,465925,1535,303.534202,205383,133.8,116481.25,0.25,0.412257338,0.2,75.88355049,58,22.5,30.3534202,250.7969707,52.73723127
12,426655,1381,308.9464156,187531,135.7936278,106663.75,0.25,0.4139496,0.2,77.23660391,58,22.5,30.89464156,248.4912455,60.45517017
