product_id,fabric_type,fabric,usage
493,main,YIWAN8022,8
875,main,YIWAN8022,5
902,main,YIWAN8022,8
905,main,YIWAN8022,8
918,main,YIWAN8022,8
932,main,YIWAN8022,8
1109,main,YIWAN8022,8
1121,main,YIWAN8022,8
1123,main,YIWAN8022,8
1285,main,YIWAN8022,8
1286,main,YIWAN8022,8
1287,main,YIWAN8022,8
1292,main,YIWAN8022,8
1325,main,YIWAN8022,8
1363,main,YIWAN8022,8
1552,main,YIWAN8022+PRINT,10
1556,main,YIWAN8022+PRINT,10
1558,main,XINGFA8108+PRINT,8
1571,main,YIWAN8022,8
1573,main,YIWAN8022,6
360,main,YIWAN8012,8
365,main,YIWAN8012,8
380,main,YIWAN8012,8
438,main,YIWAN8012,8
620,main,JINSHENGYUAN987,8
680,main,YIWAN8012,15
689,main,YIWAN8012,15
897,main,YIWAN8012,8
903,main,YIWAN8012,8
1141,main,YIWAN8012,5
1493,main,YIWAN8012,10
1494,main,YIWAN8058+PRINT,10
1555,main,YIWAN8012+PRINT,10
1560,main,YIWAN8012+PRINT,10
1566,main,YIWAN8012+PRINT,7
1568,main,YIWAN8012+PRINT,7
1236,main,JIGODA0918,8
1262,main,JIGODA0918,8
1326,main,JIGODA0918,8
1342,main,JINSHENGYUAN901,8
1344,main,JIGODA0918,8
1345,main,JINSHENGYUAN901,8
1346,main,JIGODA0918,8
1348,main,JIGODA0918,8
1360,main,JIGODA0918,8
1569,main,JIGODA0918,6
1124,main,LACE01,8
646,main,JINSHENGYUAN987,6
706,main,YIWAN8048,8
916,main,XINGFA 8108,8
931,main,JINSHENGYUAN987,6
1000,main,XINGFA 8108,8
1060,main,XINGFA 8108,8
1119,main,JINSHENGYUAN987,8
1176,main,YANGJING BUHANG,8
647,main,HE ZHONG1040,8
379,main,YIWAN8029,8
1288,main,YIWAN8029,8
686,main,LACE,8
841,main,LACE,8
1486,main,JIAXIANGJ5758,5
1500,main,JIAXIANGJ5758,6
1541,main,JIAXIANGJ5758,6
1543,main,JIAXIANGJ5758,6
1596,main,JIAXIANGJ5758,3
648,main,YIWAN8022,6
641,main,JINSHENGYUAN987,8
539,main,YIWAN8022,3.5
582,main,YIWAN8022,5.5
592,main,YIWAN8022,5
628,main,PRINTED FABRIC,11.5
635,main,YIWAN8022,7
684,main,YIWAN8022,3.5
813,main,YIWAN8022,3
886,main,YIWAN8022,7.5
909,main,YIWAN8022,7.5
910,main,YIWAN8022,7
915,main,YIWAN8022,8
917,main,YIWAN8022,8
919,main,YIWAN8022,5
927,main,8022PRINT FABRIC,3.5
1064,main,YIWAN8022,8
1069,main,YIWAN8022,5.5
1093,main,YIWAN8022,3
1097,main,8022PRINT FABRIC,2.5
1103,main,8022PRINT FABRIC,3
