StyleNumber,Unit Price
1310023CL,59.0625
1310029CL,90
1310029W,73
4B016DL,95
4B054,90
4B064,105
4B094,95
4B107,61.02439024390244
4B113,90
4B113B,85
4B123,77
4B130,49.4375
4B130L,69.125
4B130W,49.4375
4B141,58.625
4B157,50.3125
4B159,90
4B160,95
4B161,69.125
4B161S,63
4B161SKT,41.475
4B164,78
4B164L,95
4B196,90
4B222B,72.9925
4B257,85
4B257B,83
4B263L,74.6725
4B268,65.625
4B272,69.195
4B276,55.2475
4B277,55.44
4B279,74.30625
4B280,102.7421875
4B280SKT,74.375
4B281,65.625
4B290,88
4B297,67.00756097560975
4B297B,81.59375
4B297W,67.00758620689655
4B300,63.07
4B301,90
4B301W,90
4B305,65.93125
4B305W,65.93125
4B316,59.42125
4B316SKT,44.57
4B320,87.21125
4B326,68.25
4B332,100.625
4B337,83
4B366,58.47625
4B386,67.96125
4B387,78
4B396,63.875
4B398,60.08625
4B398L,77.87522727272727
4B398W,60.08625
4B408,60.61125
4B409L,65.625
4B435B,85
4B450,81.37626262626263
4B450L,86
4B451,56.875
4B462,64.92
4B464,78
4B464B,78
4B464L,60.53
4B466,61.64
4B476,50.75
4B476P,59.3075
4B478,57.95
4B480,92.75
4B481SKT,41.90375
4B487B,99
4B487C,69.71
4B493,60.96125
4B495,63.08
4B497,59.91
4B498B,55.79
4B501,62.5625
4B506,53.05
4B506B,63.05
4B511,74.5
4B525,79.77375
4B540,98.4
4B555,85.75
4B564B,56.875
4B567,82
4B568,62.042875816993465
4B569D,52.2
4B570P,96.25
4B571P,69.23
4B573,63.875
4B587,64.56439655172414
4B587W,64.575
4B588,90
4B589,90
4B590,51.1875
4B590W,51.1875
4B591,63
4B592L,74.375
4B592LSKT,37.1875
4B612,88
4B627BSKT,38.7975
4B629SKT,46.644416666666665
4B633,90
4B636,58.33625
4B643,78
4B693L,68.42
AS0S224M,56.37
AS0SFP2248,41.4
ASOS201706,77.12
ASOS225,64.9
ASOSFP2045,31.75
ASOSFP2287,40.16
ASOSFP2320,44.15
ASOSFPMC230,46.57
C161001,70.875
C161002,72.9225
C161003,65.9225
C161003B,65.9225
C161004,72.9225
C161006,74.086875
C161008,62.71125
C161008SKT,31.36
C161009,61.985
C161012,64.99
C161013,57.42
C161017,54.25
C161018,63
C161019,63
C161021,63.69342857142857
C161021P,78.5
C161024,72.26069244604317
C161025,70.2975
C161026,62
C161026B,57.46
C161027,61.08
C161028,106.02375
C161029,78.21770833333333
C161030,76.85125
C161031B,52.5
C161032,52.5
C161033,49.875
C161036,63.85
C161036B,59.2
C161037,76.395
C161037P,78.13125
C161037PSKT,51.0475
C161037SKT,58.34
C161038,70.83333333333333
C161041,77.14875
C161042P2,77.14875
C161043,80.45321428571428
C161043B,77.2975
C161044B,52.5
C161045,70
C161046,54.83732142857143
C161047P,74.09
C161049,23.568951612903227
C161050,83.74388888888889
C161051,72.52390625000001
C161054,70.875
CAMPAIGN 1-FP2213,54.75
CAMPAIGN 2-FP2213,54.75
CAMPAIGN 3-FP2212,52.44
CAMPAIGN 4-FP2212,52.44
CAMPAIGN 5-FP2216,55
CAMPAIGN 5-FP2220,55
CAMPAIGN 6-FP2216,55
CAMPAIGN 7-FP2214,53.44
CAMPAIGN 8-FP2215,52.44
FP2002L,69.125
FP2003,66.15
FP2004,63.6
FP2006,58.63609271523179
FP2006P,68.25
FP2011,53.375
FP2011P,60.208333333333336
FP2014,57.582402234636874
FP2015P,73.21125
FP2018,71.89566489361702
FP2020,73.36
FP2021,76.4225
FP2023P,70.58625
FP2027P,66.21125
FP2029,67.375
FP2029B,75.25
FP2029P,75.25
FP2032,75.45
FP2033,61.91048319327731
FP2034P,70
FP2035,66.68
FP2037,60.375
FP2039,65.97
FP2042,108.69
FP2044,78.64
FP2045,68.38845238095239
FP2045WS,65.52
FP2046,64.38
FP2047,64.65
FP2048,62.36
FP2049,70.2
FP2050,72.33625
FP2051,62.71125
FP2052,73.8675
FP2053,66.6
FP2055,138.6875
FP2056,85.96
FP2057,65.04647435897436
FP2059,83.78472222222223
FP2060,119.74604166666667
FP2061,108.2724358974359
FP2062,76.8124024390244
FP2063,75.03079545454545
FP2064,79.77375
FP2066,53.035714285714285
FP2067,64.94852941176471
FP2068,48.55958333
FP2069,44.625
FP2070,39.96125
FP2071B,54.62
FP2082,65.17
FP2083,57.61
FP2084,59.7
FP2085,64.67
FP2086,63.58
FP2090,57.1725
FP2095,56.89
FP2097,68.25
FP2098,62.72
FP2099,41.4225
FP2100,44.485
FP2102,42.58625
FP2104,53.23625
FP2105,52.5
FP2108,39.083333333333336
FP2109,53.77
FP2112,57.46125
FP2113,61.38
FP2115,65.77375
FP2118,63.73
FP2122,86.33625
FP2126,43.92
FP2126B,47.49
FP2127,68.82
FP2128,86.47
FP2131,62.95
FP2132,62.79
FP2135,82.92
FP2136,64.27795370088889
FP2136P,73.65954166399999
FP2137,72.1934217139394
FP2138P,65.33916667
FP2139,69.12791667
FP2141,67.23170454272727
FP2142,79.04604166499999
FP2143,79.63
FP2144,64.75
