Page,Sessions,Bounces
/dress-escala-944?color=dark-tan,8344,3327
/dress-francois-940?color=ivory,5257,2174
/dress-surreal-dreamer-dress-1292?color=navy,4536,1753
/dress-the-linda-dress-1511?color=navy,3617,1329
/dress-the-libra-1349?color=dark-tan,3439,1961
/dress-backless-starlet-dress-1285?color=pretty-pink,2837,1141
/dress-everett-lace-968?color=burgundy,2801,1058
/dress-the-echo-dress-1555?color=betsey-floral,2784,1210
/dress-arianne-848?color=navy,2742,1927
/dress-the-juniper-dress-1557?color=garden-at-dusk-floral,2587,1078
/dress-the-axis-1364?color=pretty-pink,2410,918
/dress-dragon-eyes-lace-dress-1135?color=black,2241,963
/dress-the-deneuve-1308?color=ivory,2224,915
/dress-ada-dress-1096?color=light-nude,1883,613
/dress-sarah-907?color=emerald-green,1804,657
/dress-the-spring-dress-1583?color=white,1678,698
/dress-visby-1228?color=dusk,1678,576
/dress-allegra-680?color=forest-green,1622,676
/dress-queen-of-the-night-1129?color=navy,1579,505
/dress-the-goldie-set-1610?color=marigold,1571,680
/dress-yoko-dress-1116?color=blush,1507,547
/dress-the-sirius-1325?color=navy,1499,577
/dress-the-julianne-1398?color=royal-blue,1491,618
/dress-surreal-dreamer-dress-1292?color=red,1444,486
/dress-the-deneuve-1308,1442,543
/dress-the-venice-dress-1581?color=white,1423,647
/dress-the-shiona-dress-1538?color=pale-blue-and-white-pinstripe,1384,562
/dress-the-auriga-1352?color=navy,1312,473
/dress-the-nova-1334?color=black,1297,548
/dress-the-zelda-1295?color=ivory,1297,539
/dress-the-elinor-skirt-1484?color=black-and-white-gingham,1280,515
/dress-nikita-dress-1287?color=black,1212,484
/dress-the-claudie-1367?color=pink-and-white-gingham,1212,413
/dress-leo-919?color=red,1136,399
/dress-the-walton-top-1523?color=white,1122,434
/dress-kennedy-grace-1039?color=pale-grey,1119,437
/dress-tate-dress-1120?color=dusk,1116,438
/dress-escala-944?color=black,1086,427
/dress-the-blossom-dress-1552?color=light-romance,1042,415
/dress-tate-dress-1120?color=black,1039,413
/dress-luella-skirt-1153?color=watercolour-camo,1014,398
/dress-head-over-heels-515?color=light-pink,983,287
/dress-the-xavier-dress-1541?color=red,979,376
/dress-the-hanne-dress-1438?color=white,967,455
/dress-the-venice-dress-1581?color=black,961,377
/dress-allegra-680?color=pale-grey,960,466
/dress-the-twilight-1341?color=burgundy,943,430
/dress-backless-dreamer-539?color=red,932,418
/dress-the-manfield-dress-1480?color=white,932,316
/dress-the-veronika-dress-1462?color=white,926,349
/dress-the-liberty-dress-1559?color=sweet-romance-floral,820,330
/dress-sarah-907?color=light-pink,814,537
/dress-the-mae-1401?color=pale-blue,813,319
/dress-the-zenith-1338?color=black-and-white-gingham,810,383
/dress-isla-841?color=ivory,791,373
/dress-the-lynn-dress-1591?color=ivory,777,268
/dress-dream-about-me-1202?color=red,763,307
/dress-sevia-1077?color=navy,761,290
/dress-the-pisces-1344?color=black,757,366
/dress-jacquie-1012?color=white,750,254
/dress-tilbury-dress-1109?color=champagne,745,343
/dress-santina-979?color=pale-pink,741,329
/dress-the-lyra-1371?color=navy,740,278
/dress-the-gypsy-1411?color=black,738,294
/dress-the-carlotta-dress-1453?color=white-and-black-pinstripe,720,467
/dress-the-issa-dress-1542?color=pretty-pink,720,269
/dress-everett-lace-968?color=black,708,307
/dress-the-brighton-1432?color=peach,702,225
/dress-the-middleton-1390?color=navy-and-red,693,213
/dress-khiva-1223?color=dark-forest,689,239
/dress-firedust-630?color=ivory,688,254
/dress-maquino-1198?color=red,685,213
/dress-the-silverlake-jumpsuit-1586?color=black-and-white-spot,685,281
/dress-the-axis-1364?color=red,682,361
/dress-alija-dress-1288?color=pale-blue,680,299
/dress-the-arielle-1407?color=mintutm_source=Facebook-Paid,668,380
/dress-the-pegasus-1336?color=navy,657,268
/dress-the-jennifer-1397?color=royal-blue,655,233
/dress-the-taurus-1332?color=pale-pink,652,283
/dress-the-zappa-pant-1566?color=garden-at-dusk-floral,650,267
/dress-the-maritza-dress-1494?color=black-and-white-spot,647,281
/dress-the-jenna-dress-1590?color=white,644,269
/dress-everett-lace-968,642,199
/dress-the-berenson-dress-1541?color=red,641,295
/dress-the-celestine-1369?color=black,638,307
/dress-the-russo-dress-1544?color=navy-and-white-gingham,633,274
/dress-tate-1120?color=dusk,631,236
/dress-cici-jumpsuit-1111?color=black,630,266
/dress-moonlight-537?color=navy,627,193
/dress-queen-of-the-night-dress-1129?color=winter-grey,617,157
/dress-the-borealis-1380?color=dark-tan,617,262
/dress-the-katharine-1314?color=ivory,614,222
/dress-the-meadow-dress-1560?color=betsey-floral,609,287
/dress-the-julie-top-1473?color=red,603,298
/dress-the-equinox-1378?color=black,602,248
/dress-wisteria-684?color=black,592,260
/dress-tilbury-dress-1109?color=pale-blue,585,285
/dress-tate-dress-1120?color=dusk?utm_source=Facebook-Paid,584,545
/dress-queen-of-the-night-dress-1129?color=white,572,176
/dress-sweet-rebel-skirt-736?color=white,564,277
/dress-silk-dreamer-dress-1134?color=champagne,563,266
/dress-maisie-dress-1290?color=black,561,220
/dress-mirabella-582?color=navy,559,240
/dress-gillian-two-piece-909?color=mint,546,297
/dress-escala-944?color=burgundy,542,263
/dress-the-los-feliz-jumpsuit-1585?color=white,540,244
/dress-the-dita-1391?color=red-and-navy,531,160
/dress-kito-1094?color=ornate-midnight-floral,524,238
/dress-santina-979?color=teal,524,196
/dress-sweet-rebel-skirt-736?color=indigo,519,235
/dress-the-nave-1424?color=black,516,196
/dress-astrid-371?color=black,513,138
/dress-alberta-1098?color=black,512,185
/dress-the-orion-1327?color=black,496,168
/dress-estelle-two-piece-852?color=white,495,194
/dress-the-gypset-dress-1556?color=young-love-floral,492,221
/dress-the-perseus-1358?color=black,491,277
/dress-sunday-dreamer-1132?color=pale-grey,489,175
/dress-the-aphelion-1343?color=silver,485,188
/dress-wild-cosmo-922?color=navy,485,218
/dress-the-giovana-dress-1517?color=navy-and-white-gingham,483,223
/dress-the-carina-1357?color=black,482,191
/dress-the-rodeo-dress-1573?color=white,471,215
/dress-escala-944?color=dark-tanutm_source=Facebook-Paid,469,207
/dress-wild-cosmo-922?color=pale-blue,466,176
/dress-gigi-989?color=nude,465,194
/dress-the-eclipse-1329?color=black-and-white,459,206
/dress-the-silverlake-jumpsuit-1586?color=black-and-tan-spot,448,161
/dress-the-kling-top-1533?color=white,446,210
