Date,Platform,utm_campaign,leads_na
2015-12-09,Other,02.15.16_ENHANCED_FAME_WEDDINGS_MOODBOARDS, 1
2015-12-09,Other,35-44-M-MULTI-1?POP_THANKS=TRUE, 2
2015-12-09,Other,80EA0C029C-AUS SITEWIDE SALE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-09,Other,NYE-USA-OPTIMISED-21-25?POP_THANKS=TRUE, 1
2015-12-10,Other,02.15.16_ENHANCED_FAME_WEDDINGS_MOODBOARDS, 1
2015-12-10,Other,25-34-M-MULTI-1-REFINERY?POP_THANKS=TRUE, 1
2015-12-10,Other,35-44-M-IMG-1-AU?POP_THANKS=TRUE, 1
2015-12-10,Other,35-44-M-MULTI-2-AU?POP_THANKS=TRUE, 1
2015-12-10,Other,F7F385C345-US_NYECOUNTDOWN5_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-11,Other,03.28.16_WIN_A_TRIP, 1
2015-12-11,Other,05.12.16_LITTLE_WHITE_DRESSES, 1
2015-12-11,Other,25-34-M-MULTI-1-AU?POP_THANKS=TRUE, 1
2015-12-11,Other,25-34-M-MULTI-1-REFINERY?POP_THANKS=TRUE, 1
2015-12-11,Other,B84CBF9BED-ALL_NYECOUNTDOWN_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-12,Facebook,CONTEMPORARY_USA_ALL_28-35_COMPETITORS_ALL_CAROUSEL_PRODUCT_HIGH+CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_REESE-DEVILLE-JO-BLUEBELL, 1
2015-12-12,Other,02.15.16_ENHANCED_FAME_WEDDINGS_MOODBOARDS, 1
2015-12-12,Other,8AEC5FCEEC-AUS LOVE LACE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-12,Other,FB74601339-ALL_NYECOUNTDOWN2_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-13,Other,00B090063B-AUS SITEWIDE SALE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-13,Other,11F4A4687B-AUS SITEWIDE SALE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-13,Other,5D52370264-ALL_NYECOUNTDOWN2_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-13,Other,F7F385C345-US_NYECOUNTDOWN5_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-14,Other,02.15.16_ENHANCED_FAME_WEDDINGS_MOODBOARDS, 1
2015-12-14,Other,03.03.16_ALL_TIME_BEST_SELLERS, 1
2015-12-14,Other,35-44-M-IMG-1-AU?POP_THANKS=TRUE, 1
2015-12-14,Other,35-44-M-MULTI-2-AU?POP_THANKS=TRUE, 1
2015-12-14,Other,7C18A22473-AUS LOVE LACE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-14,Other,BRIDE-AU-26-29-D?POP_THANKS=TRUE, 1
2015-12-14,Other,BRIDE-AU-30-33-M?POP_THANKS=TRUE, 1
2015-12-14,Other,NYE-AU-26-32?POP_THANKS=TRUE, 1
2015-12-15,Other,02.15.16_ENHANCED_FAME_WEDDINGS_MOODBOARDS, 1
2015-12-15,Other,4C9D667A2C-US LOVE LACE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-15,Other,6F724349F0-US_NYECOUNTDOWN4_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-15,Other,80EA0C029C-AUS SITEWIDE SALE_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-16,Other,F7F385C345-US_NYECOUNTDOWN5_SUBJECT_LINE_TEST10_20_2015, 2
2015-12-17,Other,8575A6DF29-US_NYECOUNTDOWN6_SUBJECT_LINE_TEST10_20_2015, 1
2015-12-18,Other,C0A7172613-SITEWIDE SALE_SUBJECT_LINE_TEST10_20_2015, 1
