Cohort,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,year_month
Bridal,568.39,553.49,3,3,1,0,312.04246000000006,7.5,230.13125000000002,-50,64.96000000000001,0,0,3,2,0,2016-01
Contemporary,1630.4126,1621.8026,8,9,3,0,844.9323363756097,22.5,634.1200609756097,-87,161.07999999999998,0,0,8,6,1,2016-01
Not Assigned,154124.5486,155392.8586,793,904,141,0,86967.67316861071,2260,64602.80026921071,-7180.26,17587.28,0,0,793,493,21,2016-01
Contemporary,1324.99,1274.99,4,5,1,0,457.03471,12.5,332.5,-50,86.06,0,0,4,3,0,2016-02
Not Assigned,225505.3794,216761.9644,798,938,127,0,88864.65015445754,2345,64890.40318685754,-8857.373,17406.75,0,0,798,451,9,2016-02
Prom,1301.98,1276.98,4,5,3,0,436.87495679562653,12.5,307.2825367956265,-25,91.06,0,0,4,2,0,2016-02
Bridal,397.99,372.99,2,2,1,0,168.0004961271676,5,118.1937861271676,-25,38.39,0,0,2,1,1,2016-03
Contemporary,1544.99,1519.99,5,6,1,0,571.3241065517242,15,415.64439655172407,-25,109.80000000000001,0,0,5,3,0,2016-03
Not Assigned,611291.5428,592409.0758,2156,2538,366,0,238149.37592270307,6350,173626.54439116974,-18832.467,46580.96833333334,0,-50,2156,1334,51,2016-03
Prom,1962.049999999999,1943.549999999999,6,8,1,0,795.3204861271677,20,601.8575361271676,-18.5,134.7,0,0,6,4,0,2016-03
Bridal,966,936.1,2,4,0,0,350.6919361271676,10,257.9050361271676,-29.9,64.44,0,0,2,1,0,2016-04
Contemporary,3835.6926,3772.9426,14,16,3,0,1670.4515853999999,42.5,1216.59625,-62.75,339.34,0,0,14,10,0,2016-04
Not Assigned,1009846.1906,973814.6226,3455,4172,546,0,399846.6814033438,10437.5,287340.6406812771,-36043.268,83012.91666666667,0,0,3455,2200,91,2016-04
Prom,3735.99,3583.6400000000012,12,16,1,0,1428.53306,40,1030.4875,-152.35,289.32000000000005,0,0,12,9,0,2016-04
