utm_campaign,product
CONTEMPORARY-DAY_US_NA_26-35_FRIENDS-OF-ENGAGED_ALL_CAROUSEL_PRODUCT_WEDDING-GUEST_CAROUSEL_PRODUCT_NA_PDP_DRESSES_QUASAR-OLSEN-DEVILLE-AURELIA-DREAMABOUTME-DELPHINE-LUCID,QUASAR
CONTEMPORARY-DAY_US_NA_26-35_FRIENDS-OF-ENGAGED_ALL_CAROUSEL_PRODUCT_WEDDING-GUEST_CAROUSEL_PRODUCT_NA_PDP_DRESSES_QUASAR-OLSEN-DEVILLE-AURELIA-DREAMABOUTME-DELPHINE-LUCID,OLSEN
CONTEMPORARY-NIGHT_AUS_NA_ALL_NA_ALL_CAROUSEL_PRODUCT_EVENING_CAROUSEL_PRODUCT_NA_PDP_DRESSES_AXIS-LYRA-TWILIGHT-PISCES-IRVINE-SATTELITE,AXIS
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-PALOMA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_PALOMA-DRESSES_ARA-CAPRICORN-ARIANNE-ARA-TRINE-RETROGRADE,ARA
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBIE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBIE-DRESSES_CELESTINE-DIPPER-TWILIGHT-EVERETT-IRVINE-ELEGANTLACE,CELESTINE
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,PISCES
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,MERIDIAN
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-PALOMA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_PALOMA-DRESSES_ARA-CAPRICORN-ARIANNE-ARA-TRINE-RETROGRADE,ARA
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBIE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBIE-DRESSES_CELESTINE-DIPPER-TWILIGHT-EVERETT-IRVINE-ELEGANTLACE,CELESTINE
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,PISCES
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBIE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBIE-DRESSES_CELESTINE-DIPPER-TWILIGHT-EVERETT-IRVINE-ELEGANTLACE,CELESTINE
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,PISCES
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,MERIDIAN
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,MERIDIAN
PROM_USA_ALL_16-19_NA_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBARA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBARA-DRESSES_URSA-FALLFROMHEAVEN-TAURUS-SORRENTO-CLAUDIE-KEATONTWOPIECE,URSA
PROM_USA_ALL_16-19_NA_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-ASHLEY_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_ASHLEY-DRESSES_SUPERNOVA-STARRYSKY-HYDRA-LYRA-EKKO-CATALINA,SUPERNOVA
PROM-RE_CAN_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,PISCES
PROM-RE_NZ_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,PISCES
PROM-RE_CAN_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,MERIDIAN
PROM-RE_UK_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,PISCES
PROM_USA_ALL_16-19_NA_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-GABI_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_GABI-DRESSES_ANTARES-TILBURY-VELA-BOREALIS-MARGO-ARA,ANTARES
PROM-RE_UK_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,MERIDIAN
CONTEMPORARY_USA-AUS_ALL_28-45_ALL_ALL_CAROUSEL_PRODUCT_WC-PROFITABLE-CUSTOMER-TEST-BEST-SELLERS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_NOVA-ZENITH-ADA-EVERETT-LACE-DRAGONEYES,NOVA
CONTEMPORARY_USA-AUS_ALL_28-45_ALL_ALL_CAROUSEL_PRODUCT_WC-PROFITABLE-CUSTOMER-TEST-BEST-SELLERS-MISSION_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_NOVA-ZENITH-ADA-EVERETT-LACE-DRAGONEYES,NOVA
CONTEMPORARY-DAY_US_NA_26-35_FRIENDS-OF-ENGAGED_ALL_CAROUSEL_PRODUCT_WEDDING-GUEST_CAROUSEL_PRODUCT_NA_PDP_DRESSES_QUASAR-OLSEN-DEVILLE-AURELIA-DREAMABOUTME-DELPHINE-LUCID,DEVILLE
CONTEMPORARY-NIGHT_AUS_NA_ALL_NA_ALL_CAROUSEL_PRODUCT_EVENING_CAROUSEL_PRODUCT_NA_PDP_DRESSES_AXIS-LYRA-TWILIGHT-PISCES-IRVINE-SATTELITE,LYRA
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-PALOMA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_PALOMA-DRESSES_ARA-CAPRICORN-ARIANNE-ARA-TRINE-RETROGRADE,CAPRICORN
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBIE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBIE-DRESSES_CELESTINE-DIPPER-TWILIGHT-EVERETT-IRVINE-ELEGANTLACE,DIPPER
